2025-04-26 22:47:37: training starting...
2025-04-26 22:47:38: new reward: 19.0(100000018.0)
2025-04-26 22:47:38: new reward: 34.0(15.0)
2025-04-26 22:47:38: new reward: 39.0(5.0)
2025-04-26 22:47:38: new reward: 40.0(1.0)
2025-04-26 22:47:38: new reward: 41.0(1.0)
2025-04-26 22:47:38: new reward: 43.0(2.0)
2025-04-26 22:47:38: new reward: 47.0(4.0)
2025-04-26 22:47:38: new reward: 54.0(7.0)
2025-04-26 22:47:38: new reward: 59.0(5.0)
2025-04-26 22:47:38: new reward: 64.0(5.0)
2025-04-26 22:47:39: new reward: 71.0(7.0)
2025-04-26 22:47:40: new reward: 74.0(3.0)
2025-04-26 22:47:40: new reward: 75.0(1.0)
2025-04-26 22:47:41: new reward: 84.0(9.0)
2025-04-26 22:47:42: new reward: 86.0(2.0)
2025-04-26 22:47:47: new reward: 119.0(33.0)
2025-04-26 22:47:47: new reward: 153.0(34.0)
