2025-04-26 22:58:13: training starting...
2025-04-26 22:58:14: new reward: -6.3(-100.0%) at episode 0, saving model...
2025-04-26 22:58:14: new reward: -4.5(-28.6%) at episode 7, saving model...
2025-04-26 22:58:17: new reward: -2.7(-40.0%) at episode 53, saving model...
2025-04-26 22:58:23: new reward: -0.9(-66.7%) at episode 171, saving model...
2025-04-26 23:03:07: new reward: 2.1(-333.3%) at episode 4949, saving model...
2025-04-26 23:22:11: new reward: 2.2(+4.8%) at episode 23985, saving model...
2025-04-26 23:22:29: new reward: 2.3(+4.5%) at episode 24274, saving model...
2025-04-26 23:26:17: new reward: 2.7(+17.4%) at episode 28021, saving model...
2025-04-26 23:50:19: new reward: 2.8(+3.7%) at episode 50983, saving model...
2025-04-26 23:50:19: new reward: 3.0(+7.1%) at episode 50988, saving model...
2025-04-26 23:59:22: new reward: 3.1(+3.3%) at episode 59608, saving model...
2025-04-27 00:05:16: new reward: 3.3(+6.5%) at episode 65231, saving model...
2025-04-27 00:47:18: new reward: 3.5(+6.1%) at episode 103984, saving model...
2025-04-27 01:06:55: new reward: 3.6(+2.9%) at episode 121435, saving model...
2025-04-27 01:12:11: new reward: 3.7(+2.8%) at episode 126085, saving model...
2025-04-27 01:18:43: new reward: 4.2(+13.5%) at episode 131724, saving model...
2025-04-27 01:38:20: new reward: 4.8(+14.3%) at episode 148767, saving model...
2025-04-27 01:48:00: new reward: 4.8(+0.0%) at episode 155051, saving model...
