2025-05-03 22:40:56: training starting...
2025-05-03 22:40:58: new reward: 2.7(-100.0%) at episode 0, saving model...
2025-05-03 22:40:59: new reward: 4.1(+51.9%) at episode 9, saving model...
2025-05-03 22:41:02: new reward: 5.6(+36.6%) at episode 52, saving model...
2025-05-03 22:41:14: new reward: 5.8(+3.6%) at episode 218, saving model...
2025-05-03 22:41:16: new reward: 6.6(+13.8%) at episode 247, saving model...
2025-05-03 22:41:48: new reward: 6.9(+4.5%) at episode 666, saving model...
2025-05-03 22:54:37: new reward: 7.6(+10.1%) at episode 11227, saving model...
2025-05-03 22:55:03: new reward: 11.1(+46.1%) at episode 11558, saving model...
2025-05-03 22:59:01: new reward: 16.0(+44.1%) at episode 14534, saving model...
2025-05-03 23:03:05: new reward: 18.3(+14.4%) at episode 17377, saving model...
2025-05-03 23:04:28: new reward: 19.7(+7.7%) at episode 18316, saving model...
2025-05-03 23:11:17: new reward: 24.6(+24.9%) at episode 22917, saving model...
2025-05-03 23:30:18: new reward: 26.1(+6.1%) at episode 35669, saving model...
2025-05-03 23:31:22: new reward: 26.9(+3.1%) at episode 36291, saving model...
2025-05-03 23:33:53: new reward: 27.6(+2.6%) at episode 37863, saving model...
2025-05-03 23:34:32: new reward: 34.6(+25.4%) at episode 38253, saving model...
2025-05-03 23:45:32: new reward: 44.8(+29.5%) at episode 45160, saving model...
2025-05-03 23:45:34: new reward: 55.0(+22.8%) at episode 45168, saving model...
2025-05-04 00:25:59: new reward: 82.4(+49.8%) at episode 60354, saving model...
2025-05-04 01:43:11: new reward: 82.6(+0.2%) at episode 91871, saving model...
