2025-04-26 16:36:58: training starting...
2025-04-26 16:36:59: new reward: 15.0(100000014.0)
2025-04-26 16:36:59: new reward: 17.0(2.0)
2025-04-26 16:36:59: new reward: 24.0(7.0)
2025-04-26 16:36:59: new reward: 51.0(27.0)
2025-04-26 16:36:59: new reward: 62.0(11.0)
2025-04-26 16:36:59: new reward: 65.0(3.0)
2025-04-26 16:37:00: new reward: 73.0(8.0)
2025-04-26 16:37:08: new reward: 82.0(9.0)
2025-04-26 16:37:08: new reward: 103.0(21.0)
2025-04-26 16:37:16: new reward: 135.0(32.0)
2025-04-26 16:37:22: new reward: 204.0(69.0)
2025-04-26 16:37:22: new reward: 268.0(64.0)
2025-04-26 16:37:40: new reward: 320.0(52.0)
2025-04-26 16:38:45: new reward: 324.0(4.0)
2025-04-26 16:39:09: new reward: 343.0(19.0)
2025-04-26 16:39:10: new reward: 394.0(51.0)
2025-04-26 16:39:10: new reward: 526.0(132.0)
2025-04-26 16:39:35: new reward: 9566.0(9040.0)
2025-04-26 16:39:39: new reward: 14740.0(5174.0)
2025-04-26 16:52:36: new reward: 18373.0(3633.0)
2025-04-26 16:52:50: new reward: 51561.0(33188.0)
2025-04-26 16:55:18: new reward: 76764.0(25203.0)
2025-04-26 16:56:52: new reward: 100000.0(23236.0)
