2025-05-04 02:24:35: training starting...
2025-05-04 02:24:36: new reward: 4.1(-100.0%) at episode 0, saving model...
2025-05-04 02:24:36: new reward: 5.0(+22.0%) at episode 11, saving model...
2025-05-04 02:24:37: new reward: 6.6(+32.0%) at episode 28, saving model...
2025-05-04 02:24:37: new reward: 8.4(+27.3%) at episode 62, saving model...
2025-05-04 02:25:19: new reward: 8.7(+3.6%) at episode 1900, saving model...
2025-05-04 02:25:25: new reward: 10.7(+23.0%) at episode 2145, saving model...
2025-05-04 02:25:36: new reward: 11.0(+2.8%) at episode 2666, saving model...
2025-05-04 02:28:24: new reward: 11.1(+0.9%) at episode 9822, saving model...
2025-05-04 02:28:24: new reward: 12.9(+16.2%) at episode 9839, saving model...
2025-05-04 02:28:39: new reward: 17.9(+38.8%) at episode 10416, saving model...
2025-05-04 02:29:05: new reward: 22.6(+26.3%) at episode 11389, saving model...
2025-05-04 02:29:30: new reward: 23.1(+2.2%) at episode 12360, saving model...
2025-05-04 02:29:54: new reward: 26.9(+16.5%) at episode 13206, saving model...
2025-05-04 02:30:21: new reward: 27.3(+1.5%) at episode 14124, saving model...
2025-05-04 02:31:32: new reward: 34.5(+26.4%) at episode 16345, saving model...
2025-05-04 02:32:58: new reward: 41.0(+18.8%) at episode 18985, saving model...
2025-05-04 02:35:58: new reward: 45.9(+12.0%) at episode 24218, saving model...
2025-05-04 02:36:05: new reward: 50.9(+10.9%) at episode 24383, saving model...
2025-05-04 02:39:00: new reward: 54.9(+7.9%) at episode 28934, saving model...
2025-05-04 02:39:08: new reward: 59.9(+9.1%) at episode 29113, saving model...
2025-05-04 02:40:21: new reward: 64.4(+7.5%) at episode 30719, saving model...
2025-05-04 02:40:48: new reward: 73.9(+14.8%) at episode 31318, saving model...
2025-05-04 02:41:29: new reward: 83.2(+12.6%) at episode 32194, saving model...
2025-05-04 02:44:40: new reward: 96.9(+16.5%) at episode 36147, saving model...
2025-05-04 02:46:49: new reward: 106.4(+9.8%) at episode 38581, saving model...
2025-05-04 02:50:03: new reward: 113.1(+6.3%) at episode 42077, saving model...
2025-05-04 02:50:23: new reward: 124.9(+10.4%) at episode 42395, saving model...
2025-05-04 02:55:01: new reward: 162.8(+30.3%) at episode 47189, saving model...
2025-05-04 03:01:59: new reward: 190.4(+17.0%) at episode 53665, saving model...
2025-05-04 03:15:29: new reward: 208.9(+9.7%) at episode 63957, saving model...
2025-05-04 03:17:36: new reward: 239.5(+14.6%) at episode 65311, saving model...
2025-05-04 13:25:14: new reward: 246.4(+2.9%) at episode 69226, saving model...
2025-05-04 13:27:48: new reward: 288.4(+17.0%) at episode 70606, saving model...
2025-05-04 13:29:09: new reward: 306.9(+6.4%) at episode 71169, saving model...
2025-05-04 13:35:05: new reward: 362.9(+18.2%) at episode 74040, saving model...
2025-05-04 13:38:28: new reward: 488.9(+34.7%) at episode 75405, saving model...
2025-05-04 13:49:49: new reward: 622.2(+27.3%) at episode 79516, saving model...
2025-05-04 14:21:09: new reward: 694.4(+11.6%) at episode 88660, saving model...
